         7361825 function calls (6445562 primitive calls) in 2.191 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   293/15    0.000    0.000    2.030    0.135 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       92    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
      414    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      257    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
      135    0.000    0.000    0.007    0.000 re.py:288(_compile)
      200    0.000    0.000    0.000    0.000 _collections_abc.py:840(items)
        6    0.000    0.000    0.000    0.000 __init__.py:328(namedtuple)
      485    0.000    0.000    0.000    0.000 typing.py:1330(<genexpr>)
        2    0.000    0.000    0.244    0.122 representation_types.py:1(<module>)
        9    0.000    0.000    0.239    0.027 fundaments_of_responses.py:1(<module>)
      315    0.000    0.000    0.000    0.000 typing_extensions.py:148(_check_generic)
      552    0.000    0.000    0.000    0.000 typing_extensions.py:199(<listcomp>)
  768/636    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      268    0.000    0.000    0.000    0.000 generics.py:333(check_parameters_count)
      292    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
   212/10    0.000    0.000    0.000    0.000 typing.py:185(_type_repr)
  138/130    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      200    0.000    0.000    0.000    0.000 __init__.py:970(__init__)
     1548    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1548    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      307    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1066    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      771    0.000    0.000    0.000    0.000 sre_parse.py:250(match)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      488    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      636    0.000    0.000    0.000    0.000 typing.py:383(__reduce__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       75    0.000    0.000    0.000    0.000 enum.py:89(__setitem__)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
     84/2    0.000    0.000    2.028    1.014 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       29    0.000    0.000    0.006    0.000 sre_compile.py:783(compile)
      617    0.000    0.000    0.000    0.000 sre_parse.py:161(__len__)
      606    0.000    0.000    0.000    0.000 typing.py:560(<genexpr>)
      683    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      976    0.000    0.000    0.000    0.000 typing.py:357(__deepcopy__)
      111    0.000    0.000    0.000    0.000 sre_compile.py:265(_compile_charset)
      424    0.000    0.000    0.000    0.000 sre_parse.py:287(tell)
       32    0.000    0.000    0.000    0.000 typing.py:801(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       49    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      125    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
      200    0.000    0.000    0.003    0.000 generics.py:152(<dictcomp>)
       29    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
      419    0.000    0.000    0.000    0.000 sre_parse.py:173(append)
      239    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      494    0.000    0.000    0.000    0.000 hive_datetime.py:19(__get_validators__)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      265    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      165    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
      625    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      450    0.000    0.000    0.000    0.000 typing.py:1342(<genexpr>)
      577    0.000    0.000    0.000    0.000 {built-in method builtins.min}
  159/123    0.000    0.000    0.005    0.000 typing.py:401(__getitem__)
      520    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      552    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       34    0.000    0.000    0.000    0.000 ipaddress.py:1636(_ip_int_from_string)
       29    0.000    0.000    0.004    0.000 sre_parse.py:944(parse)
      548    0.000    0.000    0.000    0.000 typing.py:1737(cast)
      119    0.000    0.000    0.000    0.000 typing.py:735(__or__)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
      551    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      133    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      293    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
       26    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        7    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      101    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.010    0.010 comment_options_operation.py:1(<module>)
      629    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      186    0.000    0.000    0.000    0.000 operation.py:25(get_name_with_suffix)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      571    0.000    0.000    0.000    0.000 {method '__prepare__' of 'type' objects}
      148    0.000    0.000    0.000    0.000 sre_compile.py:447(_simple)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       93    0.000    0.000    0.059    0.001 representation_types.py:40(<genexpr>)
        1    0.000    0.000    0.063    0.063 fundaments_of_reponses.py:1(<module>)
      402    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parse.py:155(_NetlocResultMixinBase)
      257    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 datetime.py:1214(time)
       94    0.000    0.000    0.059    0.001 representation_types.py:36(<genexpr>)
      239    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       91    0.000    0.000    0.000    0.000 sre_parse.py:356(_escape)
       73    0.000    0.000    0.000    0.000 sre_parse.py:85(opengroup)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2223(__init__)
      211    0.000    0.000    0.001    0.000 typing.py:1143(<genexpr>)
       33    0.000    0.000    0.001    0.000 typing.py:1223(__getitem__)
      250    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
    22/18    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
    26/12    0.000    0.000    2.028    0.169 {built-in method builtins.__import__}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1199(_parse_octet)
      114    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
       36    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       14    0.000    0.000    0.000    0.000 copyreg.py:109(_slotnames)
      200    0.000    0.000    0.000    0.000 _collections_abc.py:862(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:277(AssetHF26)
      471    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1596(_BaseV6)
    41/27    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
       30    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       30    0.000    0.000    0.001    0.000 typing.py:1621(__init__)
      126    0.000    0.000    0.001    0.000 generics.py:304(<genexpr>)
      255    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      264    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 _symbol.py:15(AssetSymbolType)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      248    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      221    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      201    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       33    0.000    0.000    0.001    0.000 typing.py:1194(__getitem__)
       29    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.000    0.000 fundaments_of_responses.py:98(GetCommentDiscussionsByPayoutFundament)
       26    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1908(__init__)
     26/1    0.000    0.000    0.036    0.036 <frozen importlib._bootstrap_external>:1182(exec_module)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      205    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
       75    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       50    0.000    0.000    0.034    0.001 representation_types.py:23(<genexpr>)
       21    0.000    0.000    0.000    0.000 typing.py:1208(__getitem_inner__)
       16    0.000    0.000    0.000    0.000 typing.py:1695(__class_getitem__)
       51    0.000    0.000    0.034    0.001 representation_types.py:19(<genexpr>)
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
       75    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1488(__init__)
       12    0.000    0.000    0.000    0.000 copy.py:66(copy)
        1    0.000    0.000    0.000    0.000 generics.py:1(<module>)
       44    0.000    0.000    0.028    0.001 representation_types.py:12(<genexpr>)
       29    0.000    0.000    0.002    0.000 sre_compile.py:622(_code)
        7    0.000    0.000    0.000    0.000 typing.py:1093(<listcomp>)
        1    0.000    0.000    0.000    0.000 _operation_objects.py:38(LegacyApiOperationObject)
       17    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      271    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 dataclasses.py:881(_process_class)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 response_schemas.py:358(GetTransaction)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        3    0.000    0.000    0.000    0.000 enum.py:553(<listcomp>)
       43    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
      153    0.000    0.000    0.000    0.000 sre_parse.py:169(__setitem__)
       50    0.000    0.000    0.000    0.000 sre_parse.py:433(_uniq)
        1    0.000    0.000    0.000    0.000 witness_update_operation.py:29(WitnessUpdateOperation)
        1    0.000    0.000    0.016    0.016 compound.py:1(<module>)
      107    0.000    0.000    0.000    0.000 re.py:187(match)
        1    0.000    0.000    0.000    0.000 witness_update_operation.py:40(WitnessUpdateOperationLegacy)
       75    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 transaction.py:36(TransactionLegacy)
      200    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       73    0.000    0.000    0.000    0.000 sre_parse.py:97(closegroup)
       29    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       44    0.000    0.000    0.026    0.001 representation_types.py:16(<genexpr>)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
      100    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.930    0.930 _operation_objects.py:1(<module>)
       20    0.000    0.000    0.000    0.000 typing.py:1284(__hash__)
      116    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      104    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       21    0.000    0.000    0.000    0.000 typing.py:1188(copy_with)
        8    0.000    0.000    0.000    0.000 typing_extensions.py:487(_get_protocol_attrs)
       25    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       29    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       32    0.000    0.000    0.000    0.000 typing.py:722(__init__)
      320    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
